Tag Name;Description
a_BAL_SEPA_A_HV_Neg_kV_PV;
a_BAL_SEPA_A_HV_Neg_kV_SP;
a_BAL_SEPA_A_HV_Neg_mA_PV;
a_BAL_SEPA_A_HV_Pos_kV_PV;
a_BAL_SEPA_A_HV_Pos_kV_SP;
a_BAL_SEPA_A_HV_Pos_mA_PV;
a_BAL_SEPA_AmbientRH;
a_BAL_SEPA_AmbientTemp;
a_BAL_SEPA_ATransAirRH;
a_BAL_SEPA_ATransAirTemp;
a_BAL_SEPA_Belt_FT;Feed Tons
a_BAL_SEPA_Belt_FTD;Feed Tons To Dome
a_BAL_SEPA_Belt_FTG;Feed Tons Good
a_BAL_SEPA_Belt_FTGT;Feed Tons To Dome and Silo
a_BAL_SEPA_Belt_FTS3;Feed Tons To Silo 3
a_BAL_SEPA_Belt_Gap;
a_BAL_SEPA_Belt_Run_Hours;Belt Run Hours
a_BAL_SEPA_Belt_Speed_PV;Mapped From SepA_M1_SpeedX10 - N14:1 in PLC
a_BAL_SEPA_Belt_Time;Belt Run Time
a_BAL_SEPA_Belt_Tons;Belt Run Tons
a_BAL_SEPA_E1_Torque_PV;
a_BAL_SEPA_E2_Torque_PV;
a_BAL_SEPA_Feed_PV;
a_BAL_SEPA_Feeder_CV;
a_BAL_SEPA_Feeder_PV;
a_BAL_SEPA_Feeder_SP;
a_BAL_SEPA_FeedRH;
a_BAL_SEPA_FeedTemp;
a_BAL_SEPA_M1_Speed_PV;
a_BAL_SEPA_M2_Speed_PV;
a_BAL_SEPA_Q_C_FI;Carbon - Foam Index - Lab Data - Input by Operator
a_BAL_SEPA_Q_C_LOI;Carbon  - Loss On Ignition - Lab Data - Input by Operator
a_BAL_SEPA_Q_DT;When the Sample Button was pressed
a_BAL_SEPA_Q_F_FI;Feed - Foam Index - Lab Data - Input by Operator
a_BAL_SEPA_Q_F_LOI;Feed - Loss On Ignition - Lab Data - Input by Operator
a_BAL_SEPA_Q_P_FI;Product - Foam Index - Lab Data - Input by Operator
a_BAL_SEPA_Q_P_LOI;Product - Loss On Ignition - Lab Data - Input by Operator
a_BAL_SEPA_Q_PC_LOI;Promecon - Loss On Ignition - Lab Data - Input by Operator
a_BAL_SEPA_Q_Y;Yeild - Input by Operator
a_BAL_SEPA_Q_z_Counter;1 second counter used needed for communications
a_BAL_BOPA_Q_Carbon_Blower_Pressure;
a_BAL_BOPA_Q_Carbon_Pump_Current;
a_BAL_BOPA_Q_Mineral_Blower_Pressure;
a_BAL_BOPA_Q_Mineral_Pump_Current;
