Tag Name;Description
a_BEL_SEPA_A_HV_Neg_kV_PV;
a_BEL_SEPA_A_HV_Neg_kV_SP;
a_BEL_SEPA_A_HV_Neg_mA_PV;
a_BEL_SEPA_A_HV_Pos_kV_PV;
a_BEL_SEPA_A_HV_Pos_kV_SP;
a_BEL_SEPA_A_HV_Pos_mA_PV;
a_BEL_SEPA_AmbientRH;
a_BEL_SEPA_AmbientTemp;
a_BEL_SEPA_ATransAirRH;
a_BEL_SEPA_ATransAirTemp;
a_BEL_SEPA_Belt_FT;Feed Tons
a_BEL_SEPA_Belt_FTD;Feed Tons To Dome
a_BEL_SEPA_Belt_FTG;Feed Tons Good
a_BEL_SEPA_Belt_FTGT;Feed Tons To Dome and Silo
a_BEL_SEPA_Belt_FTS3;Feed Tons To Silo 3
a_BEL_SEPA_Belt_Gap;
a_BEL_SEPA_Belt_Material;
a_BEL_SEPA_Belt_Mfg_Code;
a_BEL_SEPA_Belt_Number;
a_BEL_SEPA_Belt_Run_Hours;Belt Run Hours
a_BEL_SEPA_Belt_Speed_PV;Mapped From SepA_M1_SpeedX10 - N14:1 in PLC
a_BEL_SEPA_Belt_Time;Belt Time
a_BEL_SEPA_Belt_Tons;Belt Tons
a_BEL_SEPA_Belt_Tons_Good_Today;Belt Tons Good Today
a_BEL_SEPA_Belt_Tons_Today;Belt Tons Today
a_BEL_SEPA_E1_Torque_PV;
a_BEL_SEPA_E2_Torque_PV;
a_BEL_SEPA_Feed_DewPoint;
a_BEL_SEPA_Feed_PV;
a_BEL_SEPA_FeedRH;
a_BEL_SEPA_FeedTemp;
a_BEL_SEPA_Q_C_FI;Carbon - Foam Index - Lab Data - Input by Operator
a_BEL_SEPA_Q_C_LOI;Carbon  - Loss On Ignition - Lab Data - Input by Operator
a_BEL_SEPA_Q_DT;When the Sample Button was pressed
a_BEL_SEPA_Q_F_FI;Feed - Foam Index - Lab Data - Input by Operator
a_BEL_SEPA_Q_F_LOI;Feed - Loss On Ignition - Lab Data - Input by Operator
a_BEL_SEPA_Q_P_FI;Product - Foam Index - Lab Data - Input by Operator
a_BEL_SEPA_Q_P_LOI;Product - Loss On Ignition - Lab Data - Input by Operator
a_BEL_SEPA_Q_PC_LOI;Promecon - Loss On Ignition - Lab Data - Input by Operator
a_BEL_SEPA_Q_Y;Yeild - Input by Operator
a_BEL_BOPA_BLOWER_PRESSURE_CARBON;Carbon Blower Pressure
a_BEL_BOPA_BLOWER_PRESSURE_MINERAL;Mineral Blower Pressure
